image,name,caption,human
leonardo-da-vinci_mona-lisa.jpg,Mona Lisa; Leonardo da Vinci,"The artwork depicts a woman with a mysterious smile, sitting in front of a landscape.",y
henri-de-toulouse-lautrec_in-bed-the-kiss-1892.jpg,"In Bed, The Kiss; Henri de Toulouse-Lautrec",The artwork depicts a couple in bed sharing a passionate kiss.,y
sandro-botticelli_the-birth-of-venus-1485.jpg,The Birth of Venus; Sandro Botticelli,"The artwork depicts a naked woman standing on a shell on the sea, surrounded by figures.",y
claude-monet_madame-monet-and-child.jpg,Camille Monet and a Child in the Artist’s Garden in Argenteuil; Claude Monet,"The artwork depicts a woman and child in a garden, surrounded by trees and flowers.",y
gustav-klimt_the-kiss-1908.jpg,The Kiss; Gustav Klimt,"The artwork depicts a couple embracing, surrounded by a golden mosaic pattern.",y
claude-monet_impression-sunrise.jpg,"Impression, sunrise; Claude Monet",The artwork depicts a sunrise over a harbor with boats and reflections on the water.,y
paul-cezanne_still-life-with-bottle-and-apple-basket-1894.jpg,Basket of Apples; Paul Cezanne,The artwork depicts a still life with a basket of apples and a bottle on a table with a cloth.,y
edouard-manet_the-luncheon-on-the-grass-1863.jpg,The Luncheon on the Grass; Edouard Manet,The artwork depicts two nude women and two clothed men having a picnic in a forest.,y
hieronymus-bosch_the-garden-of-earthly-delights-1515-7.jpg,The Garden of Earthly Delights; Hieronymus Bosch,"The artwork depicts a surreal landscape with strange creatures, plants, and people.",y
gustav-klimt_portrait-of-adele-bloch-bauer-i-1907-1.jpg,Portrait of Adele Bloch-Bauer I; Gustav Klimt,The artwork depicts a woman in a golden dress surrounded by patterns and shapes.,y
piet-mondrian_avond-evening-the-red-tree-1910.jpg,Avond (Evening): The Red Tree; Piet Mondrian,The artwork depicts a tree in a field with a red background and black lines.,y
amedeo-modigliani_jeanne-hebuterne-1919.jpg,Jeanne Hebuterne; Amedeo Modigliani,The artwork depicts a woman's face in a stylized and elongated form.,y
wassily-kandinsky_composition-iv-1911.jpg,Composition IV; Wassily Kandinsky,The artwork depicts abstract shapes and lines in bright colors.,y
wassily-kandinsky_yellow-red-blue-1925.jpg,Yellow-Red-Blue; Wassily Kandinsky,"The artwork depicts three shapes in yellow, red, and blue floating on a white background.",y
edgar-degas_three-dancers-in-an-exercise-hall.jpg,Three Dancers in an Exercise Hall; Edgar Degas,The artwork depicts three dancers practicing in a brightly lit exercise hall.,y
lucian-freud_girl-with-a-white-dog.jpg,Girl with a White Dog; Lucian Freud,"The artwork depicts a girl sitting on a sofa, holding a white dog on her lap.",y
gustave-courbet_the-desperate-man-self-portrait-1845.jpg,The Desperate Man (Self-Portrait); Gustave Courbet,"The artwork depicts a man with a desperate expression, looking directly at the viewer.",y
egon-schiele_seated-woman-with-bent-knee-1917.jpg,Seated Woman with Bent Knee; Egon Schiele,"The artwork depicts a seated woman with a bent knee, resting her head on her knee.",y
edvard-munch_the-scream-1893.jpg,The Scream; Edvard Munch,"The artwork depicts a person with a twisted face, holding their head with both hands and screaming.",y
william-adolphe-bouguereau_dante-and-virgil-1850.jpg,Dante and Virgil; William-Adolphe Bouguereau,"The artwork depicts Dante and Virgil walking together, with a demon in the background and a dark landscape.",y
paul-klee_to-the-parnassus-1932.jpg,Ad Parnassum; Paul Klee,The artwork depicts an abstract representation of a pyramidal hill and colorful geometric shapes and lines.,y
katsushika-hokusai_the-great-wave-of-kanagawa-1831.jpg,The Great Wave off Kanagawa; Katsushika Hokusai,The artwork depicts a large wave about to crash over several small boats.,y
paul-klee_senecio-1922.jpg,Senecio; Paul Klee,The artwork depicts an abstract portrait of a person made of colorful shapes.,y
piet-mondrian_the-gray-tree-1911.jpg,The Gray Tree; Piet Mondrian,The artwork depicts a gnarled tree with branches reaching out in all directions against a gray background.,y
hieronymus-bosch_the-seven-deadly-sins-and-the-four-last-things-1485.jpg,The Seven Deadly Sins and the Four Last Things (tabletop); Hieronymus Bosch,"The artwork depicts various people engaged in activities that represent the seven deadly sins, while being watched by demons and skeletons.",y
edouard-manet_a-bar-at-the-folies-bergere-1882-1.jpg,A Bar at the Folies-Bergere; Edouard Manet,"The artwork depicts a woman standing behind a bar, facing the viewer, while reflecting the scene around her in a mirror.",y
claude-monet_women-in-the-garden.jpg,Women in the garden; Claude Monet,The artwork depicts women in white dresses walking in a garden with colorful flowers.,y
pieter-bruegel-the-elder_hunters-in-the-snow-1565.jpg,Hunters in the Snow; Pieter Bruegel the Elder,The artwork depicts hunters and dogs walking in the snow with a village in the background.,y
francisco-goya_saturn-devouring-his-son-1823-1.jpg,Saturn Devouring One of His Sons; Francisco Goya,The artwork depicts a bearded man eating a naked person with his mouth open.,y
paul-cezanne_mont-sainte-victoire-3.jpg,Mont Sainte-Victoire; Paul Cezanne,The artwork depicts a mountain with trees and houses in the foreground.,y
edouard-manet_olympia-1863.jpg,Olympia; Edouard Manet,The artwork depicts a reclining nude woman looking directly at the viewer.,y
